vulnerability_id,file_path,cwe_id,fix_commit_hash,original_commit_hash,vulnerability_type,evaluation_result,evaluation_details,detected_line_numbers,created_at,repository,source_tool
commit-103f6510dac8bdd5c07b354ae90bc6b9ecda383c,airflow/www/templates/airflow/login.html,CWE-352,48480f2351db1a9f5684fff4c3dbc5a95510f07f,103f6510dac8bdd5c07b354ae90bc6b9ecda383c,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),[10],2025-05-14 22:46:49,airflow_security_analysis,gpt-4
commit-2192010ee3acda045e266981b8d5e58e6ec6fb13,airflow/models/dagbag.py,CWE-362,b9eb51a0fb32cd660a5459d73d7323865b34dd99,2192010ee3acda045e266981b8d5e58e6ec6fb13,racescondition,FN,Missed vulnerability: CWE CWE-362,,2025-05-14 22:46:53,airflow_security_analysis,gpt-4
commit-242323829502eece2f6c7748cc9db051f9c247bc,airflow/providers/fab/auth_manager/security_manager/override.py,CWE-352,d029e77f2fd704bec4f4797b09d54c5c824a8536,242323829502eece2f6c7748cc9db051f9c247bc,CSRFcross-ssitesrequestsforgery,FN,Missed vulnerability: CWE CWE-352,,2025-05-14 22:47:00,airflow_security_analysis,gpt-4
commit-415e0767616121854b6a29b3e44387f708cdf81e,airflow/providers/amazon/aws/triggers/ecs.py,CWE-400,75ed3bc3f80ac03c301535f38544a4923ee6d43f,415e0767616121854b6a29b3e44387f708cdf81e,deserialization,FP,"False positive: AI reported CWE-400, expected CWE-502","[92,92]",2025-05-14 22:47:13,airflow_security_analysis,gpt-4
commit-4e55d7fa2b7d5f8d63465d2c5270edf2d85f08c6,tests/system/providers/google/cloud/vision/example_vision_explicit.py,CWE-798,d676f7c3e50cff943c9b7a36c0f002120432debb,4e55d7fa2b7d5f8d63465d2c5270edf2d85f08c6,racescondition,FP,"False positive: AI reported CWE-798, expected CWE-362","[37,40]",2025-05-14 22:47:26,airflow_security_analysis,gpt-4
commit-5a7f0b2e5333c936b39cdec06315d109ccf96934,airflow/www_rbac/templates/appbuilder/baselayout.html,CWE-352,27bab21f0dabbb08c7ea5d9021fae0513cc4902d,5a7f0b2e5333c936b39cdec06315d109ccf96934,CSRFcross-ssitesrequestsforgery,TP,Correctly detected vulnerability (CWE CWE-352),"[50,50]",2025-05-14 22:47:36,airflow_security_analysis,gpt-4
commit-9c60b1917b314e7d0fbdd0433bc4ee9051981fac,airflow/www/app.py,CWE-798,cac49e6eab6e107c838705f43418afcde5a82be4,9c60b1917b314e7d0fbdd0433bc4ee9051981fac,CSRFcross-ssitesrequestsforgery,FP,"False positive: AI reported CWE-798, expected CWE-352",[14],2025-05-14 22:47:53,airflow_security_analysis,gpt-4
commit-aefa482051ec249f42095286a0fe4cf0eec1f6f4,airflow/serialization/serde.py,CWE-502,12adb5e8c0c1e5f7eeb60afd1189150cdb04bb84,aefa482051ec249f42095286a0fe4cf0eec1f6f4,deserialization,TP,Correctly detected vulnerability (CWE CWE-502),"[183,184]",2025-05-14 22:48:05,airflow_security_analysis,gpt-4
commit-af130c0df1cd02bc0738504c1af63522d4f5be41,task_sdk/src/airflow/sdk/execution_time/task_runner.py,CWE-502,2dc236576ff790df5bb14aec2e97eb0061062354,af130c0df1cd02bc0738504c1af63522d4f5be41,deserialization,TP,Correctly detected vulnerability (CWE CWE-502),"[383,385]",2025-05-14 22:48:18,airflow_security_analysis,gpt-4
commit-b5a670b43d28507d8f37e20bfb8a5b951e01533c,airflow/timetables/trigger.py,CWE-502,d1bf9c5dd19555e01b0def9900978c66e012f949,b5a670b43d28507d8f37e20bfb8a5b951e01533c,deserialization,FN,Missed vulnerability: CWE CWE-502,,2025-05-14 22:48:23,airflow_security_analysis,gpt-4
