vulnerability_id,file_path,cwe_id,fix_commit_hash,fix_commit_message,original_commit_message,vulnerability_type,created_at,repository
commit-b5a670b43d28507d8f37e20bfb8a5b951e01533c,airflow/timetables/trigger.py,CWE-502,d1bf9c5dd19555e01b0def9900978c66e012f949,Fix MultipleCronTriggerTimetable deserialization (#46886),Timetable that runs on multiple cron expressions (#46451) * Extract cron trigger timetable serde logic * Timetable that runs on multiple cron expressions * Add documentation for MultipleCronTriggerTimetable,deserialization,2025-05-14 22:43:11,airflow_security_analysis
commit-af130c0df1cd02bc0738504c1af63522d4f5be41,task_sdk/src/airflow/sdk/execution_time/task_runner.py,CWE-502,2dc236576ff790df5bb14aec2e97eb0061062354,Fix XCom value deserialization in Task SDK (#45254),AIP-72: Push XCom on Task Return (#45245) closes https://github.com/apache/airflow/issues/45230,deserialization,2025-05-14 22:43:13,airflow_security_analysis
commit-242323829502eece2f6c7748cc9db051f9c247bc,airflow/providers/fab/auth_manager/security_manager/override.py,CWE-352,d029e77f2fd704bec4f4797b09d54c5c824a8536,Bump version checked by FAB provider on logout CSRF protection to 2.10.0 (#40784),Add backward compatibility to CSRF protection of `/logout` method (#40479),CSRFcross-ssitesrequestsforgery,2025-05-14 22:43:17,airflow_security_analysis
commit-0e134580d89cbb981529eb483f672c9dd28efef5,tests/providers/fab/auth_manager/api_endpoints/test_role_and_permission_endpoint.py,CWE-352,14deaa2f1fb8d5dbe4d2e1d9adaa390c5e5efbf8,"Add CSRF protection to ""/logout"" (#40145)",Add readonly REST API endpoint for roles and permissions (#14664) Co-authored-by: Ash Berlin-Taylor <ash_github@firemirror.com>,CSRFcross-ssitesrequestsforgery,2025-05-14 22:43:21,airflow_security_analysis
commit-da9d0863c7ff121c111a455708163b026943bdf1,tests/www/views/test_session.py,CWE-352,14deaa2f1fb8d5dbe4d2e1d9adaa390c5e5efbf8,"Add CSRF protection to ""/logout"" (#40145)",Add a session backend to store session data in the database (#21478) Co-authored-by: Jed Cunningham <jedcunningham@apache.org>,CSRFcross-ssitesrequestsforgery,2025-05-14 22:43:21,airflow_security_analysis
commit-faa8f543d5f7bf7113076dab5f579493ec2860ec,airflow/config_templates/unit_tests.cfg,CWE-502,20cb70b316e4efcd75cc68e98c1ae28e14ade573,Fix broken regex for allowed_deserialization_classes (#36147),"Store config description in Airflow configuration object (#32669) We would like to use the config.yml approach as our main source of truth for airflow configuration. So far it has been split amongst multiple files:   * confg.yml -> descroption   * default_airflow.cfg -> JINJA template to keep cofiguration; examples     and description (used to generate airflow.cfg when airflow starts)   * default_test.cfg -> storing test-only configuration used in some     test cases - used to generate unittest.cfg   * scripts/in_container/airflow_ci.cfg where dCI-specific configuration     overwrote the unittest.cfg This change consolidates it all into unified appraoch; where all configuration information is retrieved from .yml files stored in config_templates. No more additional template files processed by JINJA; no more special CI versions of it; no more unittestdb.cfg file where such configuration would be generated; no more unittestdb to be used separately for tests. * The default_*.cfg files were not real configuration files; becuase   they were really JINJA templates and it got peoeple confused when   copying the files. This change leaves the file empty with the   comment that instructs the user how they can get the default   configuration. * The default_airflow.cfg is gone and instead; we have a way to   show defaults via `airflow config list --defaults` command * Unittest config is generated on-the-flight using defaults stored   in confg_templates. constituing a single place where they need   to be changed for the tests to use them * internally; description of the configuration is stored in   AirflowConfigurationParser and used by the parser to generate   the default configuration when needed. * we got rid of `{{{{` in templated config defaults by marking   the templates with ``is_template`` and getting rid of processing   those entries with regular formatting when generating the default   values. This only concerns defaults from config.yml. Reading   those configuration entries from file is unaffected. This change aims to be 100% backwards compatible with the previous implementation when it comes to functionality; even if internals changed. It also does not add provider-specific changes that are coming separately. The only changes visible to the user are: * generated airflow.cfg is slightly more   readable and displays names of variables that can be used to override   each configuration (which is very useful for copy&pasting) * user are advised; instead of copying the default_airflow.cfg to use   `airflow config list --defaults` to generate production config. This   configuration has all the entries commented out; so that they can   selectively uncomment and change the values they want. This is now   promoted as ""best practice"" in the documentation.",deserialization,2025-05-14 22:43:38,airflow_security_analysis
commit-4e55d7fa2b7d5f8d63465d2c5270edf2d85f08c6,tests/system/providers/google/cloud/vision/example_vision_explicit.py,CWE-362,d676f7c3e50cff943c9b7a36c0f002120432debb,Fix race condition in the system test example_vision_explicit.py (#34076),Migration of System Tests: Cloud Vision Operators (AIP-47) (#26963),racescondition,2025-05-14 22:43:59,airflow_security_analysis
commit-bd2f156bc842f201c736709dae65d04f08573bae,airflow/providers/amazon/aws/triggers/batch.py,CWE-502,75ed3bc3f80ac03c301535f38544a4923ee6d43f,[bugfix] fix AWS triggers where deserialization would crash if region was not specified (#32729),D205 Support - Providers: Amazon/AWS (#32224) * D205 Support - Providers: Amazon/AWS * CI Fixes,deserialization,2025-05-14 22:44:02,airflow_security_analysis
commit-415e0767616121854b6a29b3e44387f708cdf81e,airflow/providers/amazon/aws/triggers/ecs.py,CWE-502,75ed3bc3f80ac03c301535f38544a4923ee6d43f,[bugfix] fix AWS triggers where deserialization would crash if region was not specified (#32729),Deferrable mode for ECS operators (#31881),deserialization,2025-05-14 22:44:03,airflow_security_analysis
commit-f0727b379e6c954a48d4c0b52b0539cf57bffb3f,airflow/config_templates/default_webserver_config.py,CWE-352,543e9a592e6b9dc81467c55169725e192fe95e89,Update CSRF token to expire with session (#28730),Change provider configuration keys for OAuth (#9759),CSRFcross-ssitesrequestsforgery,2025-05-14 22:44:14,airflow_security_analysis
commit-aefa482051ec249f42095286a0fe4cf0eec1f6f4,airflow/serialization/serde.py,CWE-502,12adb5e8c0c1e5f7eeb60afd1189150cdb04bb84,Make allowed_deserialization_classes more intuitive (#28829),Refactor serialization (#28067) Generalize serialization and deserialization Seralization and deserialization (derser) of objects that were not under the control of Airflow of the dag author was not possible. This implementation allows for extension of serialization of arbitrary objects by putting them in the namespace of airflow. Selection of serializer happens in order of registered serializer; custom serializer; attr/dataclass annottated object.,deserialization,2025-05-14 22:44:16,airflow_security_analysis
commit-d8889da29ccfcbecd2c89b9e8e278c480767d678,airflow/config_templates/default_test.cfg,CWE-502,542cfdc270aeb9b05ad150df28bc48b0a84c0f38,Add allow list for imports during deserialization (#27887),Move the database configuration to a new section (#22284) Co-authored-by: gitstart-airflow <gitstart@users.noreply.github.com> Co-authored-by: GitStart <1501599+gitstart@users.noreply.github.com> Co-authored-by: Egbosi Kelechi <egbosikelechi@gmail.com>,deserialization,2025-05-14 22:44:18,airflow_security_analysis
commit-ff64fe84857a58c4f6e47ec3338b576125c4223f,airflow/api_connexion/openapi/v1.yaml,CWE-502,41e48aaf4dbec24c924a03198b224a0b81c432d4,Move the deserialization of custom XCom Backend to 2.4.0 (#26392),Allow filtering DAGS by tags in the REST API (#18090) This PR adds a change to allow filtering DAGs by tags,deserialization,2025-05-14 22:44:20,airflow_security_analysis
