vulnerability_id,file_path,cwe_id,fix_commit_hash,original_commit_hash,vulnerability_type,evaluation_result,evaluation_details,created_at,repository,source_tool
commit-0e134580d89cbb981529eb483f672c9dd28efef5,tests/providers/fab/auth_manager/api_endpoints/test_role_and_permission_endpoint.py,CWE-352,14deaa2f1fb8d5dbe4d2e1d9adaa390c5e5efbf8,0e134580d89cbb981529eb483f672c9dd28efef5,CSRFcross-ssitesrequestsforgery,FN,No issues reported in scan.,2025-05-14 23:00:38,airflow_security_analysis,sonarqube
commit-103f6510dac8bdd5c07b354ae90bc6b9ecda383c,airflow/www/templates/airflow/login.html,CWE-352,48480f2351db1a9f5684fff4c3dbc5a95510f07f,103f6510dac8bdd5c07b354ae90bc6b9ecda383c,CSRFcross-ssitesrequestsforgery,FN,No issues reported in scan.,2025-05-14 23:01:46,airflow_security_analysis,sonarqube
commit-2192010ee3acda045e266981b8d5e58e6ec6fb13,airflow/models/dagbag.py,CWE-362,b9eb51a0fb32cd660a5459d73d7323865b34dd99,2192010ee3acda045e266981b8d5e58e6ec6fb13,racescondition,FN,No issues reported in scan.,2025-05-14 23:05:37,airflow_security_analysis,sonarqube
"commit-242323829502eece2f6c7748cc9db051f9c247bc,airflow/providers/fab/auth_manager/security_manager/override.py,CWE-352,d029e77f2fd704bec4f4797b09d54c5c824a8536,242323829502eece2f6c7748cc9db051f9c247bc,CSRFcross-ssitesrequestsforgery,FP,""Detected unrelated CWEs: UNKNOWN, CWE-798, CWE-259, CWE-521, CWE-209"",2025-05-14 23:18:30,airflow_security_analysis,sonarqube"
commit-415e0767616121854b6a29b3e44387f708cdf81e,airflow/providers/amazon/aws/triggers/ecs.py,CWE-502,75ed3bc3f80ac03c301535f38544a4923ee6d43f,415e0767616121854b6a29b3e44387f708cdf81e,deserialization,FN,No issues reported in scan.,2025-05-14 23:27:28,airflow_security_analysis,sonarqube
commit-4e55d7fa2b7d5f8d63465d2c5270edf2d85f08c6,tests/system/providers/google/cloud/vision/example_vision_explicit.py,CWE-362,d676f7c3e50cff943c9b7a36c0f002120432debb,4e55d7fa2b7d5f8d63465d2c5270edf2d85f08c6,racescondition,FN,No issues reported in scan.,2025-05-14 23:36:13,airflow_security_analysis,sonarqube
commit-5a7f0b2e5333c936b39cdec06315d109ccf96934,airflow/www_rbac/templates/appbuilder/baselayout.html,CWE-352,27bab21f0dabbb08c7ea5d9021fae0513cc4902d,5a7f0b2e5333c936b39cdec06315d109ccf96934,CSRFcross-ssitesrequestsforgery,FN,No issues reported in scan.,2025-05-14 23:38:29,airflow_security_analysis,sonarqube
commit-74c613bf473717f5665f89db3ddcaafb362a4392,tests/core/test_core.py,CWE-362,f1d4f54b3479cd7549ce79efadd25cc6859dd420,74c613bf473717f5665f89db3ddcaafb362a4392,racescondition,FN,No issues reported in scan.,2025-05-14 23:40:39,airflow_security_analysis,sonarqube
commit-9b33f9b8ec0705f354df039abf37686baeeea679,airflow/kubernetes/worker_configuration.py,CWE-732,2bf4fe3bc8a9c522d1a1df521f8f502e576a7ccc,9b33f9b8ec0705f354df039abf37686baeeea679,,FN,No issues reported in scan.,2025-05-14 23:43:13,airflow_security_analysis,sonarqube
commit-9c60b1917b314e7d0fbdd0433bc4ee9051981fac,airflow/www/app.py,CWE-352,cac49e6eab6e107c838705f43418afcde5a82be4,9c60b1917b314e7d0fbdd0433bc4ee9051981fac,CSRFcross-ssitesrequestsforgery,FN,No issues reported in scan.,2025-05-14 23:44:51,airflow_security_analysis,sonarqube
commit-aefa482051ec249f42095286a0fe4cf0eec1f6f4,airflow/serialization/serde.py,CWE-502,12adb5e8c0c1e5f7eeb60afd1189150cdb04bb84,aefa482051ec249f42095286a0fe4cf0eec1f6f4,deserialization,FN,No issues reported in scan.,2025-05-14 23:52:18,airflow_security_analysis,sonarqube
"commit-af130c0df1cd02bc0738504c1af63522d4f5be41,task_sdk/src/airflow/sdk/execution_time/task_runner.py,CWE-502,2dc236576ff790df5bb14aec2e97eb0061062354,af130c0df1cd02bc0738504c1af63522d4f5be41,deserialization,FP,""Detected unrelated CWEs: CWE-601, UNKNOWN, CWE-798, CWE-117, CWE-532, CWE-259, CWE-521"",2025-05-15 00:06:35,airflow_security_analysis,sonarqube"
commit-b5a670b43d28507d8f37e20bfb8a5b951e01533c,airflow/timetables/trigger.py,CWE-502,d1bf9c5dd19555e01b0def9900978c66e012f949,b5a670b43d28507d8f37e20bfb8a5b951e01533c,deserialization,FN,No issues reported in scan.,2025-05-15 00:17:52,airflow_security_analysis,sonarqube
commit-bd2f156bc842f201c736709dae65d04f08573bae,airflow/providers/amazon/aws/triggers/batch.py,CWE-502,75ed3bc3f80ac03c301535f38544a4923ee6d43f,bd2f156bc842f201c736709dae65d04f08573bae,deserialization,FN,No issues reported in scan.,2025-05-15 00:25:28,airflow_security_analysis,sonarqube
commit-cbe7955d7e0dd352829f71e762026f4044a05a7d,airflow/www_rbac/webpack.config.js,CWE-352,27bab21f0dabbb08c7ea5d9021fae0513cc4902d,cbe7955d7e0dd352829f71e762026f4044a05a7d,CSRFcross-ssitesrequestsforgery,FN,No issues reported in scan.,2025-05-15 00:28:20,airflow_security_analysis,sonarqube
commit-d760a5c76fdf3e75ccee8378bedd70c1a3e355be,airflow/www/templates/airflow/task_instance.html,CWE-352,48480f2351db1a9f5684fff4c3dbc5a95510f07f,d760a5c76fdf3e75ccee8378bedd70c1a3e355be,CSRFcross-ssitesrequestsforgery,FN,No issues reported in scan.,2025-05-15 00:29:08,airflow_security_analysis,sonarqube
commit-da9d0863c7ff121c111a455708163b026943bdf1,tests/www/views/test_session.py,CWE-352,14deaa2f1fb8d5dbe4d2e1d9adaa390c5e5efbf8,da9d0863c7ff121c111a455708163b026943bdf1,CSRFcross-ssitesrequestsforgery,FN,No issues reported in scan.,2025-05-15 00:41:00,airflow_security_analysis,sonarqube
